File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results
Vi/viper/quantifiedpermissions/third_party/test_forward_dep_drf_c.vpr,0,772,17,2,748,780,789,true,success,QPs=21;SCcomps=0;methods=7;postBranches=8;proverWarnings=0
Vi/viper/quantifiedpermissions/third_party/test_forward_dep_pvl.vpr,0,988,101,10,846,1044,1074,true,success,QPs=10;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
Vi/viper/quantifiedpermissions/third_party/test_kernel_example_pvl.vpr,0,658,17,2,637,660,679,true,success,QPs=9;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
Vi/viper/quantifiedpermissions/third_party/test_kernel_example_v2_pvl.vpr,0,901,16,1,886,893,925,true,success,QPs=10;SCcomps=0;methods=4;postBranches=4;proverWarnings=0
Vi/viper/quantifiedpermissions/third_party/test_vector_add_c.vpr,0,911,4,0,906,911,918,true,success,QPs=19;SCcomps=0;methods=3;postBranches=2;proverWarnings=0
Vi/viper/wands/examples/list_insert_tmp.vpr,2,10418,647,6,9847,10085,11324,true,133.10-assert.failed:assertion.false;91.9-apply.failed:assertion.false,QPs=0;SCcomps=44;methods=1;postBranches=3;proverWarnings=0
Vi/viper/wands/examples_new_syntax/ListIterator.vpr,0,1131,8,0,1125,1125,1144,true,success,QPs=0;SCcomps=4;methods=9;postBranches=43;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/BagStack-I.vl.vpr,0,23766,931,3,22927,23306,25066,true,success,QPs=52;SCcomps=71;methods=23;postBranches=14;proverWarnings=78
Vo/voila/voila_evaluation_examples/strong_spec/correct/BoundedCounter-I.vl.vpr,0,2708,115,4,2599,2658,2868,true,success,QPs=17;SCcomps=20;methods=14;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/CASCounter-I.vl.vpr,0,1820,58,3,1752,1814,1896,true,success,QPs=17;SCcomps=8;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/ForkJoin-I.vl.vpr,0,754,10,1,745,749,768,true,success,QPs=13;SCcomps=3;methods=13;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/ForkJoinClient-I.vl.vpr,0,2283,7,0,2275,2282,2293,true,success,QPs=57;SCcomps=12;methods=25;postBranches=18;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/IncDec-I.vl.vpr,0,3151,53,1,3082,3159,3213,true,success,QPs=21;SCcomps=12;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/SpinLock-I.vl.vpr,0,1029,72,6,961,998,1130,true,success,QPs=13;SCcomps=18;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/TicketLock-ISpec.vl.vpr,1,2396,24,1,2366,2398,2425,true,1277.5-fold.failed:insufficient.permission,QPs=40;SCcomps=14;methods=23;postBranches=13;proverWarnings=163
Vo/voila/voila_evaluation_examples/strong_spec/correct/TicketLockClient-I.vl.vpr,0,1812,227,12,1491,1965,1982,true,success,QPs=24;SCcomps=8;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.1.vl.vpr,2,21578,2110,9,18623,22696,23415,true,989.18-invariant.not.established:insufficient.permission;997.18-invariant.not.established:insufficient.permission,QPs=44;SCcomps=143;methods=23;postBranches=14;proverWarnings=78
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.2.vl.vpr,1,27153,1030,3,25716,27665,28078,true,450.15-invariant.not.preserved:assertion.false,QPs=52;SCcomps=159;methods=23;postBranches=14;proverWarnings=78
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.3.vl.vpr,2,20154,185,0,20007,20040,20415,true,1339.9-call.precondition:insufficient.permission;874.7-call.precondition:insufficient.permission,QPs=48;SCcomps=196;methods=23;postBranches=14;proverWarnings=78
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.4.vl.vpr,3,17705,1642,9,16397,16698,20022,true,2169.7-fold.failed:insufficient.permission;2841.9-fold.failed:insufficient.permission;3424.10-assert.failed:assertion.false,QPs=48;SCcomps=173;methods=23;postBranches=14;proverWarnings=60
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.1.vl.vpr,2,1228,64,5,1138,1265,1282,true,647.18-invariant.not.established:insufficient.permission;648.18-invariant.not.established:insufficient.permission,QPs=13;SCcomps=46;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.2.vl.vpr,1,1814,80,4,1705,1842,1895,true,408.15-invariant.not.preserved:assertion.false,QPs=17;SCcomps=80;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.3.vl.vpr,2,1341,123,9,1250,1259,1516,true,648.18-invariant.not.established:assertion.false;648.18-invariant.not.preserved:assertion.false,QPs=15;SCcomps=60;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/CasCounter/CASCounter-I.4.vl.vpr,3,684,50,7,648,648,756,true,1110.5-assignment.failed:insufficient.permission;500.5-assignment.failed:insufficient.permission;933.3-assignment.failed:insufficient.permission,QPs=13;SCcomps=6;methods=16;postBranches=7;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.1.vl.vpr,1,2394,8,0,2383,2400,2401,true,1277.5-fold.failed:insufficient.permission,QPs=40;SCcomps=9;methods=23;postBranches=13;proverWarnings=163
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.2.vl.vpr,1,2347,16,0,2331,2341,2370,true,1277.5-fold.failed:insufficient.permission,QPs=40;SCcomps=9;methods=23;postBranches=13;proverWarnings=163
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.3.vl.vpr,1,2386,12,0,2370,2388,2401,true,1277.5-fold.failed:insufficient.permission,QPs=40;SCcomps=9;methods=23;postBranches=13;proverWarnings=163
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLock/TicketLock-I.4.vl.vpr,2,2434,66,2,2353,2433,2516,false,1277.5-fold.failed:insufficient.permission;1992.3-fold.failed:assertion.false,QPs=40;SCcomps=23;methods=23;postBranches=13;proverWarnings=163
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLockClient/TicketLockClient-I.2.vl.vpr,1,1709,81,4,1602,1727,1800,true,460.15-invariant.not.preserved:assertion.false,QPs=24;SCcomps=38;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLockClient/TicketLockClient-I.3.vl.vpr,1,1520,111,7,1364,1580,1618,true,1132.5-fold.failed:assertion.false,QPs=24;SCcomps=51;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/TicketLockClient/TicketLockClient-I.4.vl.vpr,2,1724,19,1,1701,1725,1748,true,1063.12-exhale.failed:insufficient.permission;783.5-assignment.failed:insufficient.permission,QPs=24;SCcomps=34;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/BagStack.vl.vpr,0,16476,1818,11,14041,16977,18411,true,success,QPs=44;SCcomps=78;methods=23;postBranches=17;proverWarnings=60
Vo/voila/voila_evaluation_examples/weak_spec/correct/BoundedCounter.vl.vpr,0,2269,206,9,2071,2184,2554,true,success,QPs=15;SCcomps=30;methods=15;postBranches=11;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/CASCounter.vl.vpr,0,1075,101,9,935,1122,1169,true,success,QPs=11;SCcomps=9;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/CounterClient.vl.vpr,0,4770,5,0,4763,4770,4777,true,success,QPs=123;SCcomps=33;methods=47;postBranches=32;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/ForkJoin.vl.vpr,0,549,49,8,482,566,599,true,success,QPs=9;SCcomps=3;methods=13;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/ForkJoinClient.vl.vpr,0,1599,25,1,1563,1611,1623,true,success,QPs=45;SCcomps=12;methods=25;postBranches=18;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/IncDec.vl.vpr,0,2188,9,0,2175,2191,2199,true,success,QPs=17;SCcomps=18;methods=16;postBranches=12;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/SpinLock.vl.vpr,0,926,16,1,913,917,950,true,success,QPs=11;SCcomps=24;methods=14;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/correct/TicketLock.vl.vpr,2,673,34,5,624,696,700,true,1192.3-fold.failed:insufficient.permission;522.3-fold.failed:insufficient.permission,QPs=14;SCcomps=2;methods=14;postBranches=6;proverWarnings=64
Vo/voila/voila_evaluation_examples/weak_spec/correct/TicketLockClient.vl.vpr,0,1130,65,5,1069,1100,1221,true,success,QPs=20;SCcomps=9;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.1.vl.vpr,2,13182,1089,8,11706,13542,14300,true,1014.5-assignment.failed:insufficient.permission;834.16-invariant.not.established:insufficient.permission,QPs=40;SCcomps=72;methods=23;postBranches=15;proverWarnings=60
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.2.vl.vpr,1,16206,750,4,15180,16483,16956,true,337.11-postcondition.violated:assertion.false,QPs=44;SCcomps=110;methods=23;postBranches=17;proverWarnings=60
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.3.vl.vpr,2,12861,645,5,12169,12692,13723,true,1163.7-call.precondition:insufficient.permission;730.5-call.precondition:insufficient.permission,QPs=40;SCcomps=218;methods=23;postBranches=16;proverWarnings=60
Vo/voila/voila_evaluation_examples/weak_spec/errors/BagStack/BagStack.4.vl.vpr,3,9801,150,1,9645,9755,10005,true,1821.5-fold.failed:insufficient.permission;2460.7-fold.failed:insufficient.permission;3004.10-assert.failed:assertion.false,QPs=40;SCcomps=188;methods=23;postBranches=16;proverWarnings=42
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.1.vl.vpr,1,1234,41,3,1187,1228,1287,true,336.14-postcondition.violated:assertion.false,QPs=11;SCcomps=35;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.2.vl.vpr,1,1229,18,1,1204,1236,1247,true,336.14-postcondition.violated:assertion.false,QPs=11;SCcomps=35;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.3.vl.vpr,2,890,45,5,842,876,952,true,489.10-assert.failed:assertion.false;696.12-assert.failed:assertion.false,QPs=9;SCcomps=96;methods=14;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/CasCounter/CASCounter.4.vl.vpr,2,422,16,3,400,427,439,true,404.3-assignment.failed:insufficient.permission;818.3-assignment.failed:insufficient.permission,QPs=7;SCcomps=4;methods=14;postBranches=6;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.1.vl.vpr,2,721,16,2,698,728,737,true,1192.3-fold.failed:insufficient.permission;522.3-fold.failed:insufficient.permission,QPs=14;SCcomps=2;methods=14;postBranches=6;proverWarnings=64
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.2.vl.vpr,2,683,23,3,651,695,704,true,1192.3-fold.failed:insufficient.permission;522.3-fold.failed:insufficient.permission,QPs=14;SCcomps=2;methods=14;postBranches=6;proverWarnings=64
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.3.vl.vpr,2,693,9,1,680,697,703,true,1192.3-fold.failed:insufficient.permission;522.3-fold.failed:insufficient.permission,QPs=14;SCcomps=2;methods=14;postBranches=6;proverWarnings=64
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLock/TicketLock.4.vl.vpr,2,695,2,0,693,696,698,true,1192.3-fold.failed:insufficient.permission;522.3-fold.failed:insufficient.permission,QPs=14;SCcomps=2;methods=14;postBranches=6;proverWarnings=64
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLockClient/TicketLockClient.2.vl.vpr,1,1312,7,0,1303,1314,1320,true,361.11-postcondition.violated:assertion.false,QPs=20;SCcomps=20;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLockClient/TicketLockClient.3.vl.vpr,1,1319,10,0,1306,1320,1332,true,988.3-fold.failed:assertion.false,QPs=20;SCcomps=62;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/weak_spec/errors/TicketLockClient/TicketLockClient.4.vl.vpr,2,1218,79,6,1108,1253,1294,true,645.3-assignment.failed:insufficient.permission;920.10-exhale.failed:insufficient.permission,QPs=20;SCcomps=38;methods=17;postBranches=8;proverWarnings=0
